Value,HRUCODE,HRUDESC,FRAC
4868,7400,Dev_Septics-C-All-All,0.006725844
4868,12421,Road_Rural-C-High-1,0.993274156
4869,4001,Dev_Roof-All-All-1,0.00906719
4869,4002,Dev_Roof-All-All-2,0.00906719
4869,4003,Dev_Roof-All-All-3,0.00906719
4869,6420,Dev_Pervious-C-High-All,0.962991513
4869,7400,Dev_Septics-C-All-All,0.009806917
4870,3000,Dev_Residential-All-All-All,0.508857392
4870,6210,Dev_Pervious-A-Low-All,0.491142608
4871,7400,Dev_Septics-C-All-All,0.016561205
4871,9421,Pasture-C-High-1,0.983438795
4872,5003,Dev_Road-All-All-3,0.832033696
4872,6310,Dev_Pervious-B-Low-All,0.167966304
4873,7400,Dev_Septics-C-All-All,0.006725844
4873,9412,Pasture-C-Low-2,0.993274156
4874,7400,Dev_Septics-C-All-All,0.006725844
4874,9412,Pasture-C-Low-2,0.993274156
4875,7300,Dev_Septics-B-All-All,0.00168701
4875,9212,Pasture-A-Low-2,0.99831299
4876,7300,Dev_Septics-B-All-All,0.00168701
4876,9212,Pasture-A-Low-2,0.99831299
4877,10411,Open_Space-C-Low-1,1
4878,11411,Forest-C-Low-1,1
4879,7400,Dev_Septics-C-All-All,0.00168701
4879,9412,Pasture-C-Low-2,0.99831299
4880,5002,Dev_Road-All-All-2,0.853619061
4880,6210,Dev_Pervious-A-Low-All,0.146380939
4881,7400,Dev_Septics-C-All-All,0.00168701
4881,9412,Pasture-C-Low-2,0.99831299
4882,5002,Dev_Road-All-All-2,0.847735155
4882,6210,Dev_Pervious-A-Low-All,0.152264845
4883,7400,Dev_Septics-C-All-All,0.005114987
4883,11421,Forest-C-High-1,0.994885013
4884,7400,Dev_Septics-C-All-All,0.006725844
4884,9421,Pasture-C-High-1,0.993274156
4885,6120,Dev_Pervious-A+-High-All,1.10276E-16
4885,7300,Dev_Septics-B-All-All,7.46719E-19
